index,home_outcome,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,starplayer_Away,starplayer_Home,starplayer_No
1811,0,17,1.67,3.6,5.5,2008,4,1,8,8,8,17,0,1,0,0,17,17,10,2,55.0,45.0,0,0,1
1812,1,17,4.5,3.6,1.8,2008,3,10,5,10,8,11,0,1,0,0,12,16,5,10,48.0,52.0,1,0,0
1813,1,17,2.0,3.4,3.8,2008,6,3,3,8,12,8,0,1,0,0,9,21,5,7,45.0,55.0,0,0,1
1814,1,17,2.05,3.2,3.4,2008,7,2,12,5,14,3,4,1,0,0,19,14,8,5,28.0,72.0,0,0,1
1815,1,17,2.5,3.25,2.88,2008,0,7,6,4,16,4,1,1,0,0,20,21,5,6,43.0,57.0,0,0,1
1816,0,17,2.1,3.3,3.6,2008,1,4,6,7,9,15,1,1,0,0,21,28,7,8,4.0,96.0,0,0,1
1817,1,17,1.25,5.5,15.0,2008,16,1,8,2,12,19,3,2,0,0,22,11,9,4,57.0,43.0,0,1,0
1818,0,18,1.2,6.0,15.0,2009,6,5,5,10,9,10,0,3,0,0,18,22,4,6,51.0,49.0,0,1,0
1819,1,18,2.4,3.25,3.0,2008,3,7,2,5,15,16,3,3,0,0,7,11,2,2,50.0,50.0,0,1,0
1820,1,18,3.0,3.4,2.37,2008,12,6,6,6,7,9,2,1,0,0,25,21,7,6,59.0,41.0,0,0,1
1821,1,18,5.0,3.6,1.73,2008,9,7,2,5,16,11,0,3,0,1,25,9,6,5,44.0,56.0,1,0,0
1822,0,18,2.37,3.4,3.0,2008,3,6,3,5,11,9,3,2,0,0,22,24,4,8,45.0,55.0,0,0,1
1823,0,18,1.83,3.5,4.5,2008,6,4,2,9,13,12,0,2,0,0,12,31,2,6,45.0,55.0,0,0,1
1824,0,18,2.2,3.25,3.5,2008,10,6,6,6,12,8,0,2,0,0,9,14,6,5,53.0,47.0,0,0,1
1825,0,18,2.2,3.25,3.4,2008,8,7,10,4,12,17,1,1,0,0,21,10,6,3,60.0,40.0,0,0,1
1826,0,18,3.25,3.3,2.25,2008,5,9,7,4,5,11,2,1,0,0,24,26,4,7,50.0,50.0,0,0,1
1827,1,18,2.1,3.25,3.75,2008,8,5,6,8,21,11,3,1,0,0,10,13,6,6,49.0,51.0,0,0,1
1828,0,19,1.33,4.5,12.0,2008,9,1,11,2,9,11,1,3,0,0,38,7,16,3,67.0,33.0,0,1,0
1829,1,19,2.25,3.25,3.3,2008,9,3,6,7,4,9,0,3,0,0,30,13,4,2,56.0,44.0,0,0,1
1830,1,19,1.72,3.6,5.0,2008,9,7,8,5,8,12,0,1,0,0,14,10,4,2,50.0,50.0,0,0,1
1831,1,19,2.5,3.3,2.87,2008,7,3,5,3,10,10,4,4,0,0,39,9,6,6,45.0,55.0,0,0,1
1832,1,19,2.5,3.3,2.87,2008,5,4,2,6,26,17,5,1,0,0,13,24,5,8,54.0,46.0,0,0,1
1833,0,19,1.8,3.6,4.5,2008,9,6,10,5,15,14,0,4,0,0,4,16,8,10,56.0,44.0,0,0,1
1834,1,19,2.2,3.25,3.4,2008,15,6,6,7,12,9,1,3,0,0,37,17,9,5,56.0,44.0,0,0,1
1835,1,19,12.0,5.0,1.3,2008,4,8,3,9,13,9,4,2,0,0,15,23,6,9,48.0,52.0,1,0,0
1836,0,19,2.25,3.3,3.25,2008,9,3,6,2,14,11,2,3,0,1,19,7,7,4,50.0,50.0,0,0,1
1837,0,19,1.14,7.5,21.0,2008,14,5,9,5,7,6,1,0,0,0,20,16,7,5,62.0,38.0,0,1,0
1838,0,2,1.36,4.5,10.0,2008,6,4,13,5,9,12,2,1,0,0,21,13,13,3,57.0,43.0,0,1,0
1839,1,2,1.5,4.0,7.0,2008,6,4,8,4,10,14,1,2,0,0,42,22,12,6,55.0,45.0,0,0,1
1840,0,2,1.8,3.5,4.75,2008,6,3,3,8,11,9,1,2,0,0,15,22,4,5,57.0,43.0,0,0,1
1841,0,2,2.3,3.25,3.2,2008,5,0,6,2,13,14,0,2,0,0,16,7,6,3,58.0,42.0,0,0,1
1842,1,2,1.57,3.75,7.0,2008,4,3,6,2,11,16,0,1,0,0,20,10,6,3,60.0,40.0,0,0,1
1843,0,2,6.5,3.75,1.57,2008,2,8,3,11,15,6,2,0,0,0,10,24,1,5,47.0,53.0,1,0,0
1844,1,2,2.88,3.25,2.5,2008,7,4,11,4,12,15,3,1,0,0,27,6,11,5,47.0,53.0,0,0,1
1845,1,2,4.8,3.4,1.8,2008,4,7,8,5,11,13,2,2,0,0,17,13,4,3,36.0,64.0,0,0,1
1846,0,2,5.0,3.6,1.73,2008,1,0,6,3,15,5,1,0,0,0,20,15,2,8,46.0,54.0,0,0,1
1847,1,2,8.5,4.5,1.4,2008,9,4,2,3,14,16,1,2,0,0,20,10,7,7,50.0,50.0,1,0,0
1848,0,20,1.2,6.5,19.0,2008,12,2,18,6,12,18,2,0,0,0,25,16,8,4,53.0,47.0,0,1,0
1849,0,20,1.4,4.5,10.0,2008,6,4,7,1,11,9,0,1,0,0,28,15,11,1,57.0,43.0,0,1,0
1850,0,20,1.72,3.6,5.5,2008,12,4,7,4,11,15,3,3,0,1,28,14,8,4,67.0,33.0,0,0,1
1851,0,20,1.8,3.6,5.0,2008,3,6,7,3,9,10,1,4,0,0,14,9,8,2,59.0,41.0,0,0,1
1852,1,20,5.0,3.6,1.8,2008,6,11,3,5,6,10,2,1,0,0,13,17,4,8,45.0,55.0,1,0,0
1853,1,20,2.62,3.3,2.87,2008,7,1,5,10,14,12,2,1,0,0,14,10,4,3,51.0,49.0,0,0,1
1854,1,20,6.5,3.75,1.61,2008,1,17,3,6,9,7,1,2,0,0,9,21,1,6,41.0,59.0,1,0,0
1855,1,20,2.3,3.25,3.4,2008,9,6,7,4,13,15,2,3,0,0,19,19,8,7,44.0,56.0,0,0,1
1856,0,20,3.5,3.4,2.2,2008,7,5,6,1,19,12,3,2,0,1,28,20,8,4,53.0,47.0,0,0,1
1857,1,20,4.33,3.6,1.91,2008,3,3,4,4,13,8,1,2,0,0,29,16,9,5,43.0,57.0,0,0,1
1858,0,21,2.2,3.2,3.5,2009,6,6,5,4,14,17,3,5,0,0,14,13,6,3,56.0,44.0,0,1,0
1859,0,21,1.36,4.33,11.0,2009,7,3,6,0,15,17,2,2,0,0,29,5,5,0,64.0,36.0,0,0,1
1860,0,21,1.4,4.33,9.0,2009,14,6,9,3,11,20,1,1,0,0,31,20,10,7,53.0,47.0,0,0,1
1861,0,21,1.62,3.75,6.0,2009,2,0,5,5,13,25,2,5,0,0,21,17,5,3,57.0,43.0,0,0,1
1862,1,21,2.25,3.2,3.4,2009,4,4,6,7,11,14,0,4,0,0,4,17,2,7,55.0,45.0,0,0,1
1863,1,21,2.2,3.3,3.4,2009,7,9,11,3,11,18,1,0,0,0,22,6,8,3,54.0,46.0,0,0,1
1864,1,21,2.25,3.2,3.4,2009,8,7,4,9,13,7,1,1,0,0,16,24,9,8,49.0,51.0,0,0,1
1865,0,21,2.87,3.25,2.5,2009,6,8,8,3,12,9,1,3,0,0,27,11,8,2,55.0,45.0,1,0,0
1866,1,21,10.0,4.5,1.36,2009,0,5,6,5,11,12,2,2,0,0,26,13,4,5,35.0,65.0,1,0,0
1867,0,21,2.5,3.25,2.88,2009,5,4,8,2,11,15,3,3,0,0,23,9,7,4,51.0,49.0,0,0,1
1868,1,22,1.62,3.75,6.0,2009,5,5,4,1,20,17,0,2,0,0,12,15,4,4,56.0,44.0,0,1,0
1869,1,22,3.25,3.25,2.25,2009,4,2,2,3,14,15,4,2,0,0,19,22,7,6,50.0,50.0,0,0,1
1870,1,22,1.73,3.6,5.0,2009,15,4,11,6,5,12,0,2,0,0,25,13,8,4,54.0,46.0,0,0,1
1871,0,22,2.1,3.3,3.6,2009,6,5,6,4,12,18,1,3,0,0,13,13,3,2,59.0,41.0,0,0,1
1872,0,22,2.0,3.4,3.75,2009,2,8,9,12,11,17,1,4,1,0,8,37,2,11,49.0,51.0,0,1,0
1873,0,22,2.0,3.4,3.8,2009,3,3,5,6,16,11,2,3,0,0,11,18,2,5,54.0,46.0,0,0,1
1874,1,22,8.0,3.8,1.5,2009,3,13,5,5,12,6,1,1,0,0,16,19,1,8,41.0,59.0,1,0,0
1875,0,22,2.38,3.3,3.0,2009,6,3,4,6,16,4,0,2,0,1,16,12,5,3,41.0,59.0,0,0,1
1876,1,22,5.5,4.0,1.62,2009,4,5,2,7,9,16,1,1,0,0,20,19,4,4,43.0,57.0,0,0,1
1877,0,22,1.2,6.5,15.0,2009,19,1,20,3,8,14,0,3,0,0,36,13,10,4,56.0,44.0,0,1,0
1878,0,23,2.25,3.3,3.5,2009,12,9,4,8,4,10,0,0,0,0,20,11,3,1,53.0,47.0,0,0,1
1879,0,23,1.61,3.8,6.5,2009,11,1,8,5,18,24,2,3,0,0,22,17,7,4,58.0,42.0,0,0,1
1880,0,23,1.83,3.6,4.75,2009,10,12,15,5,10,14,0,1,0,0,21,26,10,5,56.0,44.0,0,0,1
1881,1,23,10.0,5.0,1.36,2009,4,6,10,6,13,8,5,2,1,0,14,10,5,4,39.0,61.0,1,0,0
1882,1,23,3.25,3.4,2.3,2009,8,2,12,7,10,12,2,2,0,0,26,15,17,5,54.0,46.0,0,0,1
1883,1,23,5.0,3.5,1.83,2009,2,3,3,6,11,18,1,0,0,0,15,14,2,2,48.0,52.0,1,0,0
1884,1,23,3.0,3.3,2.5,2009,4,4,4,3,10,14,2,2,0,0,13,15,7,6,49.0,51.0,0,0,1
1885,0,23,1.75,3.75,5.0,2009,4,0,7,1,8,13,1,2,0,0,19,15,7,0,64.0,36.0,0,1,0
1886,1,23,2.0,3.25,4.5,2009,11,1,2,5,11,15,3,4,0,0,35,18,6,4,52.0,48.0,0,0,1
1887,0,23,1.25,6.0,15.0,2009,12,6,12,2,7,20,0,2,0,0,22,9,8,3,61.0,39.0,0,1,0
1888,0,24,1.36,4.5,10.0,2009,11,5,7,3,15,16,0,0,0,0,17,13,6,2,52.0,48.0,0,1,0
1889,1,24,1.5,4.2,7.0,2009,9,2,11,0,14,13,2,2,0,0,49,5,11,3,55.0,45.0,0,0,1
1890,0,24,2.5,3.1,3.1,2009,14,4,8,3,25,16,4,3,0,1,35,3,12,1,54.0,46.0,0,1,0
1891,1,24,1.61,3.7,6.0,2009,9,4,9,5,12,11,1,1,0,0,36,7,6,2,50.0,50.0,0,0,1
1892,1,24,2.5,3.3,2.87,2009,6,12,2,5,7,19,0,4,0,0,13,31,3,9,51.0,49.0,0,0,1
1893,1,24,2.6,3.2,2.8,2009,14,10,7,8,14,20,2,4,0,0,35,12,4,3,51.0,49.0,0,0,1
1894,0,24,2.0,3.3,4.0,2009,4,7,1,6,10,8,0,1,0,0,8,20,5,8,48.0,52.0,0,0,1
1895,0,24,2.75,3.3,2.62,2009,5,8,6,4,10,11,0,1,0,0,14,26,2,8,46.0,54.0,0,0,1
1896,1,24,2.2,3.2,3.5,2009,10,4,7,8,14,12,2,4,0,0,30,11,8,6,53.0,47.0,0,0,1
1897,0,24,3.25,3.3,2.25,2009,3,6,4,9,11,10,1,1,1,0,17,18,7,6,43.0,57.0,1,0,0
1898,0,25,1.83,3.5,4.5,2009,6,2,6,3,4,11,2,1,0,1,29,17,2,3,60.0,40.0,0,0,1
1899,1,25,3.0,3.3,2.4,2009,7,1,10,3,14,15,1,2,0,0,15,8,6,4,51.0,49.0,0,0,1
